,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Average,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,29.85,29.85,0,29.85,0,0,0,1,0
1,1,0,0,0,34,1,0,1,0,1,0,0,0,1,0,56.95,1889.5,0,55.5735294117647,0,0,0,0,1
2,1,0,0,0,2,1,0,1,1,0,0,0,0,0,1,53.85,108.15,1,54.075,0,0,0,0,1
3,1,0,0,0,45,0,0,1,0,1,1,0,0,1,0,42.3,1840.75,0,40.90555555555556,0,0,0,0,0
4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,70.7,151.65,1,75.825,1,0,0,1,0
5,0,0,0,0,8,1,1,0,0,1,0,1,1,0,1,99.65,820.5,1,102.5625,1,0,0,1,0
6,1,0,0,1,22,1,1,0,1,0,0,1,0,0,1,89.1,1949.4,0,88.60909090909091,1,0,1,0,0
7,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,29.75,301.9,0,30.189999999999998,0,0,0,0,1
8,0,0,1,0,28,1,1,0,0,1,1,1,1,0,1,104.8,3046.05,1,108.78750000000001,1,0,0,1,0
9,1,0,0,1,62,1,0,1,1,0,0,0,0,1,0,56.15,3487.95,0,56.25725806451613,0,0,0,0,0
10,1,0,1,1,13,1,0,1,0,0,0,0,0,0,1,49.95,587.45,0,45.18846153846154,0,0,0,0,1
11,1,0,0,0,16,1,0,0,0,0,0,0,0,2,0,18.95,326.8,0,20.425,0,1,1,0,0
12,1,0,1,0,58,1,1,0,0,1,0,1,1,1,0,100.35,5681.1,0,97.95,1,0,1,0,0
13,1,0,0,0,49,1,1,0,1,1,0,1,1,0,1,103.7,5036.3,1,102.78163265306122,1,0,0,0,0
14,1,0,0,0,25,1,0,1,0,1,1,1,1,0,1,105.5,2686.05,0,107.44200000000001,1,0,0,1,0
15,0,0,1,1,69,1,1,1,1,1,1,1,1,2,0,113.25,7895.15,0,114.42246376811593,1,0,1,0,0
16,0,0,0,0,52,1,0,0,0,0,0,0,0,1,0,20.65,1022.95,0,19.672115384615385,0,1,0,0,1
17,1,0,0,1,71,1,1,1,0,1,0,1,1,2,0,106.7,7382.25,0,103.97535211267606,1,0,0,0,0
18,0,0,1,1,10,1,0,0,0,1,1,0,0,0,0,55.2,528.35,1,52.835,0,0,1,0,0
19,0,0,0,0,21,1,0,0,1,1,0,0,1,0,1,90.05,1862.9,0,88.70952380952382,1,0,0,1,0
20,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,39.65,39.65,1,39.65,0,0,0,1,0
21,1,0,1,0,12,1,0,0,0,0,0,0,0,1,0,19.8,202.25,0,16.854166666666668,0,1,0,0,0
22,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.15,20.15,1,20.15,0,1,0,0,1
23,0,0,1,0,58,1,1,0,1,0,1,0,0,2,1,59.9,3505.1,0,60.432758620689654,0,0,1,0,0
24,1,0,1,1,49,1,0,1,1,0,1,0,0,0,0,59.6,2970.3,0,60.61836734693878,0,0,1,0,0
